name,area,climate,rain_season,fire_season,pv_season,npv_season
South_Gascoyne_Arid,South Gascoyne,Arid,Winter,Summer,Winter,Autumn
South_Strzelecki_Arid,South Strzelecki,Arid,Summer,Summer,Winter,Winter
Subtropical_east_coast_Humid,Subtropical east coast,Humid,Summer,Spring,Autumn,Spring
Swan_Plain_inland_Humid,Swan Plain inland,Humid,Winter,Spring,Winter,Summer
Swan_Plain_inland_Semiarid,Swan Plain inland,Semiarid,Winter,Summer,Winter,Summer
Tasmania_coast_Humid,Tasmania coast,Humid,Winter,Summer,Winter,Summer
Tasmania_inland_Humid,Tasmania inland,Humid,Winter,Spring,Spring,Summer
Temperate_east_coast_Humid,Temperate east coast,Humid,Autumn,Spring,Autumn,Spring
Tirari_Arid,Tirari,Arid,Summer,No burn,Winter,Winter
Torrens_Arid,Torrens,Arid,Summer,No burn,Winter,Winter
Torrens_Semiarid,Torrens,Semiarid,Summer,No burn,Winter,Autumn
Tropical_east_coast_Humid,Tropical east coast,Humid,Summer,Spring,Autumn,Spring
Upper_Darling_Semiarid,Upper Darling,Semiarid,Summer,Autumn,Winter,Spring
Urisino_Arid,Urisino,Arid,Summer,Autumn,Winter,Winter
Urisino_Semiarid,Urisino,Semiarid,Summer,Summer,Winter,Winter
Victorian_coast_transgressive_Humid,Victorian coast transgressive,Humid,Winter,Summer,Winter,Summer
Victoria_Bonaparte_Humid,Victoria Bonaparte,Humid,Summer,Spring,Autumn,Spring
Victoria_Bonaparte_Semiarid,Victoria Bonaparte,Semiarid,Summer,Spring,Autumn,Winter
Warrego_Semiarid,Warrego,Semiarid,Summer,Spring,Winter,Winter
Western_bight_Humid,Western bight,Humid,Winter,Summer,Winter,Summer
Western_bight_Semiarid,Western bight,Semiarid,Winter,Spring,Winter,Summer
West_coast_transgressive_Arid,West coast transgressive,Arid,Winter,Summer,Winter,Autumn
West_coast_transgressive_Humid,West coast transgressive,Humid,Winter,Summer,Winter,Summer
West_coast_transgressive_Semiarid,West coast transgressive,Semiarid,Winter,Summer,Winter,Summer
William_Creek_Arid,William Creek,Arid,Summer,No burn,Winter,Winter
Wiso_Semiarid,Wiso,Semiarid,Summer,Spring,Autumn,Winter
Yilgarn_Arid,Yilgarn,Arid,Summer,Summer,Winter,Winter
Yilgarn_Humid,Yilgarn,Humid,Winter,Spring,Winter,Summer
Yilgarn_Semiarid,Yilgarn,Semiarid,Winter,Summer,Winter,Summer
